Organism Name,OR5-CODING,OR13-CODING,bird_gammaOR-CODING,OR10-CODING,OR6-CODING,OR4-CODING,OR14-CODING,OR12-CODING,OR8-CODING,OR2-CODING,OR52-CODING,OR11-CODING,OR1-CODING,OR9-CODING,OR51-CODING,V2R26-CODING,V2R1-CODING,squamate_V2r-CODING,V2R116_proteinAlignment-CODING,OR55-CODING,OR5-PSEUDOGENE,OR10-PSEUDOGENE,OR6-PSEUDOGENE,OR13-PSEUDOGENE,OR14-PSEUDOGENE,OR9-PSEUDOGENE,OR11-PSEUDOGENE,bird_gammaOR-PSEUDOGENE,OR8-PSEUDOGENE,OR4-PSEUDOGENE,OR12-PSEUDOGENE,OR2-PSEUDOGENE,OR52-PSEUDOGENE,OR1-PSEUDOGENE,OR51-PSEUDOGENE,squamate_V2r-PSEUDOGENE,V2R116_proteinAlignment-PSEUDOGENE,V2R26-PSEUDOGENE,V2R1-PSEUDOGENE,TAS1R1-PSEUDOGENE,TAS1R3-PSEUDOGENE,OR7-PSEUDOGENE,OR3-PSEUDOGENE,V1R-PSEUDOGENE,OR55-PSEUDOGENE,TAS1R2-PSEUDOGENE
chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.fasta.fixed.fasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysemys_picta_bellii_GCF_011386835.1,820,89,56,848,488,143,565,49,14,24,803,11,27,0,241,7,4,2,1,0,380,552,315,138,496,14,56,301,25,113,31,24,116,28,96,6,2,0,1,0,0,0,1,0,0,0
Clemmys_guttata_GCA_040208395.1,469,89,53,786,483,113,465,41,17,28,768,12,10,0,243,7,5,2,1,3,230,447,256,95,387,15,52,191,34,99,18,25,116,24,28,6,2,0,1,0,0,0,0,0,0,0
Cuora_amboinensis_GCA_004028625.2,319,66,7,600,367,154,282,34,13,24,529,3,8,2,153,9,4,3,0,4,269,288,198,71,260,32,28,128,26,125,17,30,158,3,41,5,2,1,1,0,0,0,0,0,0,0
Cuora_mccordi_GCA_003846335.1,380,73,5,666,365,151,245,23,21,47,548,11,11,3,158,10,4,5,0,3,291,307,209,95,279,28,22,121,37,131,19,22,163,9,52,2,2,0,1,0,0,0,0,0,0,0
Deirochelys_reticularia_miaria_GCA_048301635.1,416,94,31,697,383,90,442,37,15,25,584,16,12,0,191,2,5,4,1,3,249,402,218,61,257,15,45,173,22,74,33,30,105,33,28,2,2,5,1,0,0,0,1,0,0,0
Dermatemys_mawii_GCA_007922305.1,343,48,0,563,261,36,207,42,12,16,886,17,3,0,185,5,4,5,0,2,112,112,63,23,57,8,11,36,12,44,14,12,250,3,42,1,2,0,0,0,1,0,0,1,0,0
Dermochelys_coriacea_GCF_009764565.3,96,18,3,155,69,7,26,8,1,4,217,6,1,0,53,3,2,0,0,0,192,201,133,48,68,6,46,46,27,61,22,18,235,20,76,0,2,0,0,0,0,1,0,0,9,0
Emydoidea_blandingii_GCA_036785055.1,466,84,40,821,535,89,337,49,15,25,705,11,8,0,216,7,4,3,1,3,285,419,260,119,320,23,51,206,38,76,30,27,98,26,35,10,2,0,0,0,0,0,0,0,0,0
Emydura_macquarii_macquarii_GCF_026122565.2,361,156,22,1043,451,94,534,22,16,18,644,84,4,1,306,24,5,13,0,3,325,963,276,120,531,44,47,142,43,153,6,38,237,12,227,12,2,7,0,0,1,0,0,0,0,0
Emydura_subglobosa_GCA_007922225.1,367,106,29,1134,397,99,635,26,15,12,559,99,3,1,273,17,5,11,0,1,363,1170,351,128,639,29,91,169,40,156,9,30,194,17,199,13,2,8,0,1,1,1,0,0,0,0
Emys_orbicularis_GCF_028017835.1,501,82,12,861,499,83,303,41,24,23,632,15,10,0,208,6,4,3,1,4,270,468,357,88,333,20,74,158,30,84,37,19,104,25,32,7,2,0,0,0,0,0,0,0,0,0
Eretmochelys_imbricata_GCA_030012505.1,549,25,9,379,261,18,330,15,0,21,422,4,2,0,144,3,3,0,0,3,321,345,527,91,320,16,48,139,57,48,20,40,204,12,55,0,2,0,1,0,0,1,0,0,0,0
Glyptemys_insculpta_GCA_032172135.1,763,134,82,1090,849,124,871,56,31,59,788,14,12,2,186,2,1,1,1,3,464,554,411,135,788,21,85,412,71,207,31,27,161,61,48,4,2,5,0,0,0,0,0,0,0,0
Gopherus_agassizii_GCA_002896415.1,404,102,26,805,518,132,366,81,32,14,309,42,4,3,80,3,2,2,0,1,599,1077,723,230,822,29,115,339,74,239,26,26,273,20,138,0,3,1,2,0,0,0,0,0,4,0
Gopherus_evgoodei_GCF_007399415.2,491,126,29,958,657,145,430,78,32,29,594,30,6,3,197,3,2,0,0,0,502,834,577,136,515,12,89,344,30,188,50,31,363,7,193,4,3,1,2,0,0,0,0,0,3,0
Gopherus_flavomarginatus_GCF_025201925.1,471,124,30,850,566,140,431,69,13,47,691,36,6,2,119,3,3,2,0,1,363,640,429,161,497,20,64,324,24,171,23,48,497,7,123,0,3,3,1,0,0,0,0,0,0,0
Graptemys_geographica_GCA_037349215.1,423,88,18,925,549,98,401,74,23,29,772,12,22,0,206,7,4,4,1,2,236,556,305,102,290,17,73,192,23,83,25,30,127,33,48,2,2,0,1,0,0,0,0,0,0,0
Lepidochelys_olivacea_GCA_965140295.1,169,14,9,252,116,3,75,14,0,14,435,4,0,0,142,3,3,0,0,3,135,180,160,70,89,6,33,44,21,29,7,37,170,3,63,0,2,0,1,0,0,0,0,0,0,0
Macrochelys_suwanniensis_GCA_033296515.1,362,81,18,696,353,93,393,29,9,22,815,25,0,0,178,5,4,4,0,3,73,230,69,53,149,13,14,73,10,46,10,10,101,5,34,6,3,2,1,0,0,0,0,0,0,0
*.name.fasta.ORs.fasta.fixed.fasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaclemys_terrapin_pileata_GCF_027887155.1,327,79,18,678,416,88,378,44,17,22,552,11,13,0,177,5,2,2,1,3,223,431,208,69,261,21,62,159,15,69,19,23,121,35,43,5,3,2,3,0,0,0,0,0,0,0
Mauremys_mutica_GCF_020497125.1,557,116,12,1063,680,211,625,34,21,56,1050,10,7,0,234,9,6,8,0,2,279,327,265,47,422,25,25,152,33,145,17,34,174,3,68,2,2,0,1,0,0,0,0,0,0,0
Mauremys_reevesii_GCF_016161935.1,605,106,10,833,495,136,449,29,14,41,1074,15,5,3,272,9,4,7,0,3,333,254,121,55,240,39,18,130,30,118,16,49,223,2,95,2,2,0,1,0,0,0,0,0,0,0
Mesoclemmys_tuberculata_GCA_007922155.1,317,63,7,655,317,84,289,36,7,23,393,19,10,0,115,6,3,4,0,1,60,223,76,61,100,13,10,49,12,43,12,10,124,12,133,1,3,0,0,0,1,0,0,0,0,0
Myuchelys_georgesi_GCA_040894355.2,430,136,15,1277,495,135,605,20,5,23,696,76,5,0,329,11,5,3,0,2,347,944,348,132,474,33,62,111,26,184,9,22,281,12,197,21,2,4,0,0,1,0,0,0,0,0
Natator_depressus_GCA_965152275.1,338,26,4,283,133,15,97,19,2,18,460,9,2,0,104,3,2,0,0,3,190,222,214,68,88,14,41,46,11,37,9,30,127,10,40,0,2,0,0,0,0,3,0,0,0,0
Pangshura_tecta_GCA_045781095.1,305,59,0,616,277,78,275,37,10,33,669,6,8,2,170,6,4,4,0,2,142,209,100,34,98,21,14,78,14,47,10,15,109,5,32,1,2,1,1,0,0,0,0,0,0,0
Pelochelys_cantorii_GCA_032595735.1,469,45,29,691,198,36,166,38,8,4,873,33,35,0,184,0,3,1,0,0,220,229,76,17,136,4,17,53,23,5,10,3,254,16,76,1,1,0,1,0,1,0,0,0,1,0
Pelodiscus_sinensis_GCF_000230535.1,731,32,35,826,230,33,236,59,16,4,1037,28,13,2,245,3,4,3,0,2,113,247,44,33,86,1,17,26,15,22,43,25,343,26,58,2,1,2,0,0,0,0,0,0,0,0
Pelomedusa_subrufa_GCA_044758295.1,282,56,16,358,184,62,112,31,0,10,449,8,10,0,192,12,3,2,0,1,60,113,24,16,59,9,3,35,2,25,5,14,233,2,96,8,4,13,1,0,0,0,0,0,0,0
Pelusios_castaneus_GCA_007922175.1,317,56,27,432,218,60,148,29,1,14,587,6,10,0,238,5,3,0,0,1,45,112,28,5,32,8,9,38,6,19,0,8,184,3,74,0,2,7,1,0,0,0,0,0,0,0
Platysternon_megacephalum_GCA_003942145.1,338,57,4,654,358,65,267,32,3,17,671,18,0,6,210,5,5,3,1,3,220,396,201,73,124,18,34,118,13,50,8,15,205,21,42,0,2,0,1,1,0,0,0,0,0,0
Podocnemis_expansa_GCA_045364815.1,404,75,32,640,179,67,205,39,2,45,1111,10,6,0,531,6,3,6,0,0,126,165,63,42,88,13,26,107,13,35,17,17,315,6,134,3,4,2,0,0,0,0,0,0,0,0
Rafetus_swinhoei_GCA_019425775.1,742,67,25,1185,329,38,337,82,10,13,1175,63,51,2,243,4,3,4,0,3,270,567,109,49,161,11,11,82,26,46,18,3,312,25,55,1,2,0,1,0,1,0,0,0,0,0
Rhinoclemmys_areolata_GCA_044758505.1,207,45,8,528,252,86,145,29,9,23,393,7,5,0,116,6,6,0,0,2,203,243,170,57,185,21,31,80,10,56,31,31,224,7,62,11,2,4,0,0,1,0,0,0,0,0
Staurotypus_triporcatus_GCA_044707075.1,180,62,10,515,198,46,215,37,5,24,633,8,0,3,171,6,5,3,1,3,68,131,57,24,110,11,31,37,4,20,12,14,285,4,28,1,2,0,1,0,1,0,0,1,0,0
Sternotherus_odoratus_GCA_032164245.1,559,78,4,834,286,57,386,40,17,29,1238,28,0,0,267,4,4,3,1,2,104,135,41,11,116,5,16,33,1,24,10,12,159,0,37,1,2,1,0,0,1,0,0,0,0,0
Terrapene_carolina_GCA_044758195.1,205,67,14,515,289,87,112,37,5,10,324,7,8,5,114,23,3,14,1,4,226,472,245,105,312,24,64,113,15,90,12,36,210,10,46,62,12,27,1,0,1,0,0,0,0,0
Terrapene_triunguis_GCF_002925995.2,407,101,26,708,419,120,221,41,17,13,435,10,10,3,134,7,4,0,1,1,220,473,314,104,262,19,78,123,16,104,18,14,105,11,30,0,2,0,1,0,0,0,0,0,0,0
Testudo_graeca_GCA_040782865.1,264,82,3,431,323,80,169,22,24,32,268,19,5,2,78,4,1,0,0,0,390,624,379,97,324,12,43,99,15,262,10,29,277,11,91,0,2,1,0,0,1,0,0,0,0,1
Trachemys_scripta_elegans_GCF_013100865.1,257,80,5,579,329,63,193,40,19,7,441,10,0,0,150,5,4,2,1,3,170,328,169,64,231,17,43,125,26,72,15,21,70,21,36,2,1,0,0,0,0,0,0,0,0,0
Trachemys_venusta_GCA_044758685.1,200,57,10,419,276,85,158,33,15,9,310,11,10,0,94,12,4,2,2,2,169,397,187,100,195,21,49,113,17,51,25,44,232,14,90,49,10,26,0,0,0,0,0,0,0,0
Trionyx_triunguis_GCA_044758175.1,500,35,33,693,159,34,175,27,7,4,707,22,9,0,195,7,1,0,0,0,101,313,79,26,219,7,40,85,17,10,29,4,385,13,62,16,4,10,0,0,1,0,0,0,0,0
